,Show Title,Show Year,Genres,Age Rating,Production Countries,Streaming Service,Imdb rating,Rating_in_1000,Runtime_min
0,Shōgun,2024,"War & Military, Drama, History",Unknown,United States,Hotstar,8.8,119000,59
1,Heeramandi: The Diamond Bazaar,2024,"Drama, History, Romance",Unknown,India,Netflix,6.6,23000,55
2,Fallout,2024,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",A,United States,Amazon Prime Video,8.5,163000,59
3,Panchayat,2020,"Comedy, Drama",Unknown,India,Amazon Prime Video,8.9,85000,33
4,Mirzapur,2018,"Crime, Action & Adventure, Drama, Mystery & Thriller",Unknown,India,Amazon Prime Video,8.5,81000,50
5,Game of Thrones,2011,"Action & Adventure, Drama, Fantasy, Science-Fiction",A,"United States, United Kingdom",Jio Cinema,8.5,81000,58
6,3 Body Problem,2024,"Science-Fiction, Mystery & Thriller, Drama, Fantasy",A,United States,Netflix,7.6,108000,56
7,Dead Boy Detectives,2024,"Comedy, Crime, Drama, Fantasy, Horror, Action & Adventure, Mystery & Thriller, Science-Fiction",A,United States,Netflix,7.6,9000,54
8,Baby Reindeer,2024,"Drama, Comedy",Unknown,United Kingdom,Netflix,7.9,82000,34
9,Apharan,2018,"Drama, Mystery & Thriller, Action & Adventure, Crime",Unknown,India,Alt Balaji,8.3,19000,24
10,Young Sheldon,2017,"Kids & Family, Comedy",U,United States,Netflix,7.6,104000,19
11,Attack on Titan,2013,"Animation, Action & Adventure, Drama, Fantasy, Horror, Science-Fiction",UA,UA,Amazon Prime Video,9.0,325000,25
12,The Walking Dead,2010,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller, Horror",U,United States,Amazon Prime Video,9.0,325000,46
13,Inspector Rishi,2024,"Horror, Mystery & Thriller, Action & Adventure, Drama",A,India,Amazon Prime Video,7.2,1000,45
14,Sunflower,2021,"Comedy, Crime",A,India,VI movies and tv,7.4,23000,38
15,Aashram,2020,"Crime, Drama, Mystery & Thriller",Unknown,India,MX Player,7.4,32000,43
16,The Great Indian Kapil Show,2024,Comedy,Unknown,India,Netflix,6.8,24000,52
