,Movie Title,release Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Movie URLs
0,Laapataa Ladies,-2024,"Comedy, Drama",8.5  (19k),2h 2min,UA,India,Netflix,https://www.justwatch.com/in/movie/laapataa-ladies
1,Article 370,-2024,"Action & Adventure, Drama, Mystery & Thriller",8.0  (17k),2h 38min,,India,Netflix,https://www.justwatch.com/in/movie/article-370
2,Premalu,-2024,"Romance, Comedy",7.9  (9k),2h 36min,U,India,aha,https://www.justwatch.com/in/movie/premalu
3,Manjummel Boys,-2024,"Mystery & Thriller, Drama",8.5  (11k),2h 15min,UA,India,Hotstar,https://www.justwatch.com/in/movie/manjummel-boys
4,Dune: Part Two,-2024,"Action & Adventure, Science-Fiction, Drama",8.7  (399k),2h 47min,,United States,Hotstar,https://www.justwatch.com/in/movie/dune-part-two
5,Family Star,-2024,"Drama, Comedy, Romance, Action & Adventure",5.1  (2k),2h 39min,,India,Amazon Prime Video,https://www.justwatch.com/in/movie/family-star
6,Shaitaan,-2024,"Mystery & Thriller, Horror",6.8  (41k),2h 12min,UA,India,Netflix,https://www.justwatch.com/in/movie/black-magic-2024
7,Teri Baaton Mein Aisa Uljha Jiya,-2024,"Drama, Romance, Science-Fiction, Comedy",6.3  (48k),2h 21min,,India,Amazon Prime Video,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
8,Aavesham,-2024,"Action & Adventure, Comedy",8.0  (5k),2h 38min,,India,Amazon Prime Video,https://www.justwatch.com/in/movie/aavesham-2024
9,Crew,-2024,"Comedy, Drama",6.4  (25k),1h 58min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/the-crew-2024
10,Oppenheimer,-2023,"Drama, History",8.3  (737k),3h 0min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/oppenheimer
11,Yodha,-2024,"Mystery & Thriller, Drama, Action & Adventure",5.8  (6k),2h 10min,UA,"United States, India",Amazon Prime Video,https://www.justwatch.com/in/movie/yodha-2022
12,Hanu-Man,-2024,"Action & Adventure, Comedy, Science-Fiction, Fantasy",7.9  (23k),2h 39min,UA,India,Zee5,https://www.justwatch.com/in/movie/hanu-man
13,Anyone But You,-2023,"Romance, Comedy",6.1  (81k),1h 44min,A,United States,Netflix,https://www.justwatch.com/in/movie/anyone-but-you
14,Monkey Man,-2024,"United States, Canada, Singapore",,2h 1min,,,Netflix,https://www.justwatch.com/in/movie/monkey-man
15,Godzilla x Kong: The New Empire,-2024,"Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",6.4  (45k),1h 55min,UA,"United States, Australia",Netflix,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
16,Amar Singh Chamkila,-2024,"Drama, Music & Musical, Romance",8.0  (10k),2h 25min,,India,Netflix,https://www.justwatch.com/in/movie/amar-singh-chamkila
17,Kung Fu Panda 4,-2024,"Animation, Action & Adventure, Comedy, Kids & Family, Fantasy",6.3  (37k),1h 34min,,United States,Netflix,https://www.justwatch.com/in/movie/kung-fu-panda-4
18,Madgaon Express,-2024,"Comedy, Drama",7.5  (29k),2h 23min,UA,India,Netflix,https://www.justwatch.com/in/movie/madgaon-express
19,Dune,-2021,"Science-Fiction, Action & Adventure, Drama",8.0  (862k),2h 35min,UA,United States,Netflix,https://www.justwatch.com/in/movie/dune-2021
20,Tillu Square,-2024,"Comedy, Crime, Drama, Mystery & Thriller",6.8  (2k),2h 17min,,India,Netflix,https://www.justwatch.com/in/movie/tillu-square
21,Animal,-2023,"Crime, Drama, Action & Adventure, Mystery & Thriller",6.2  (90k),3h 21min,A,India,Netflix,https://www.justwatch.com/in/movie/animal-2022
22,The Beekeeper,-2024,"Mystery & Thriller, Action & Adventure",6.4  (91k),1h 45min,,"United Kingdom, United States",Lionsgate Play Amazon Channel,https://www.justwatch.com/in/movie/the-beekeeper-2024
23,777 Charlie,-2022,"Action & Adventure, Comedy, Drama",8.7  (39k),2h 46min,UA,India,Jio Cinema,https://www.justwatch.com/in/movie/777-charlie
24,Anatomy of a Fall,-2023,"Mystery & Thriller, Crime, Drama",7.7  (125k),2h 32min,,France,Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute
25,12th Fail,-2023,Drama,8.9  (113k),2h 27min,,India,Hotstar,https://www.justwatch.com/in/movie/12th-fail
26,Godzilla Minus One,-2023,"Science-Fiction, Horror, Action & Adventure, Drama",8.0  (69k),2h 5min,,Japan,Hotstar,https://www.justwatch.com/in/movie/godzilla-minus-one
27,Gaami,-2024,"Mystery & Thriller, Science-Fiction, Fantasy, Drama",6.6  (1k),2h 27min,A,India,Zee5,https://www.justwatch.com/in/movie/gaami
28,The Idea of You,-2024,"Romance, Comedy, Drama",6.4  (26k),1h 56min,,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/the-idea-of-you
29,Fighter,-2024,"Mystery & Thriller, War & Military, Action & Adventure",6.2  (45k),2h 47min,UA,India,Netflix,https://www.justwatch.com/in/movie/fighter-2022
30,DJ Tillu,-2022,"Action & Adventure, Comedy, Crime, Romance",7.2  (3k),2h 1min,UA,India,aha,https://www.justwatch.com/in/movie/dj-tillu
31,Kampon,-2023,"Horror, Mystery & Thriller, Crime, Drama",4.7,1h 31min,A,Philippines,Netflix,https://www.justwatch.com/in/movie/kampon
32,Salaar,-2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",6.5  (64k),2h 55min,A,India,Hotstar,https://www.justwatch.com/in/movie/salaar
33,Bramayugam,-2024,"Horror, Mystery & Thriller",7.9  (8k),2h 19min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/bramayugam
34,365 Days,-2020,"Drama, Romance, Made in Europe",3.3  (98k),1h 54min,,Poland,Netflix,https://www.justwatch.com/in/movie/365-days
35,Crakk: Jeetega... Toh Jiyegaa,-2024,"Action & Adventure, Mystery & Thriller, Sport",4.9  (5k),2h 34min,UA,India,Hotstar,https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa
36,Hereditary,-2018,"Mystery & Thriller, Horror, Drama",7.3  (379k),2h 7min,A,United States,VI movies and tv,https://www.justwatch.com/in/movie/hereditary
37,Poor Things,-2023,"Comedy, Science-Fiction, Romance, Drama",7.9  (259k),2h 22min,A,"United Kingdom, United States, Ireland",Hotstar,https://www.justwatch.com/in/movie/poor-things
38,Sam Bahadur,-2023,"Drama, War & Military, History",7.7  (16k),2h 30min,UA,India,Zee5,https://www.justwatch.com/in/movie/sam-bahadur
39,Harry Potter and the Philosopher's Stone,-2001,"Action & Adventure, Fantasy, Kids & Family",7.6  (857k),2h 32min,U,"United Kingdom, United States",Jio Cinema,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
40,Speak No Evil,-2022,"Mystery & Thriller, Drama, Horror",6.6  (39k),1h 37min,,"Netherlands, Denmark",Amazon Prime Video,https://www.justwatch.com/in/movie/speak-no-evil-2022
41,The Raid,-2012,"Mystery & Thriller, Action & Adventure, Crime, Made in Europe",7.6  (217k),1h 41min,A,"Indonesia, United States, France",Lionsgate Play Amazon Channel,https://www.justwatch.com/in/movie/the-raid
42,Rebel Moon - Part Two: The Scargiver,-2024,"Drama, Science-Fiction, Action & Adventure, Fantasy",5.2  (39k),2h 3min,,United States,Netflix,https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver
43,Bade Miyan Chote Miyan,-2024,"Science-Fiction, Mystery & Thriller, Action & Adventure, Comedy",5.0  (34k),2h 44min,UA,India,Netflix,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023
44,Wild Tales,-2014,"Drama, Mystery & Thriller, Comedy, Made in Europe",8.1  (216k),2h 2min,A,"Argentina, Spain",Amazon Prime Video,https://www.justwatch.com/in/movie/wild-tales
45,Kung Fu Panda,-2008,"Action & Adventure, Animation, Kids & Family, Comedy, Fantasy",7.6  (524k),1h 30min,U,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/kung-fu-panda
46,Madame Web,-2024,"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",3.9  (56k),1h 56min,,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/madame-web
47,Silence 2: The Night Owl Bar Shootout,-2024,"Crime, Mystery & Thriller",6.3,2h 22min,A,India,Zee5,https://www.justwatch.com/in/movie/silence-2-the-night-owl-bar-shootout
48,Anchakkallakokkan,-2024,"Mystery & Thriller, Drama, Action & Adventure",6.8,2h 6min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/anchakkallakokkan
49,Rise of the Planet of the Apes,-2011,"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction",7.6  (564k),1h 45min,,"United Kingdom, United States",Hotstar,https://www.justwatch.com/in/movie/rise-of-the-planet-of-the-apes
50,Aquaman and the Lost Kingdom,-2023,"Action & Adventure, Fantasy, Science-Fiction",5.6  (84k),2h 4min,,United States,Hotstar,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom
51,Challengers,-2024,"Romance, Drama, Sport",7.8  (31k),2h 12min,A,"Italy, United States",Hotstar,https://www.justwatch.com/in/movie/challengers
52,Maidaan,-2022,"Drama, History, Sport",8.4  (13k),3h 1min,,India,Hotstar,https://www.justwatch.com/in/movie/maidaan
53,Migration,-2023,"Action & Adventure, Comedy, Kids & Family, Animation",6.7  (25k),1h 23min,U,United States,Jio Cinema,https://www.justwatch.com/in/movie/migration
54,All India Rank,-2024,"Drama, Comedy",6.1  (1k),1h 41min,U,India,Netflix,https://www.justwatch.com/in/movie/all-india-rank
55,The Goat Life,-2024,Drama,8.6  (6k),2h 52min,UA,"India, United States",Netflix,https://www.justwatch.com/in/movie/aadujeevitham
56,Om Bheem Bush,-2024,"Comedy, Horror",5.8,2h 30min,,India,Amazon Prime Video,https://www.justwatch.com/in/movie/om-bheem-bush
57,The Kerala Story,-2023,Drama,6.9  (72k),2h 18min,A,India,Zee5,https://www.justwatch.com/in/movie/the-kerala-story
58,Hatching,-2022,"Horror, Fantasy, Drama",6.2  (15k),1h 31min,,"Finland, Norway, Sweden, Belgium",Amazon Prime Video,https://www.justwatch.com/in/movie/hatching
59,Ranam Aram Thavarel,-2024,Mystery & Thriller,6.1,2h 0min,,India,aha,https://www.justwatch.com/in/movie/ranam-2024
60,Late Night with the Devil,-2024,Horror,7.1,1h 33min,,"Australia, United Arab Emirates, United States",aha,https://www.justwatch.com/in/movie/late-night-with-the-devil
61,Pushpa: The Rise,-2021,"Action & Adventure, Drama, Mystery & Thriller, Crime",7.6  (87k),2h 59min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/pushpa
62,Road House,-2024,"Mystery & Thriller, Action & Adventure",6.2  (119k),2h 1min,,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/road-house-2024
63,Argylle,-2024,"Comedy, Mystery & Thriller, Action & Adventure",5.7  (69k),2h 19min,,"United States, United Kingdom",Apple TV Plus,https://www.justwatch.com/in/movie/argylle
64,Ravening,-2019,"Fantasy, Horror, Romance, Drama",7.9  (3k),1h 47min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/ravening
65,Exhuma,-2024,"Mystery & Thriller, Horror",7.0  (6k),2h 14min,,South Korea,Sony Liv,https://www.justwatch.com/in/movie/exhuma
66,Romeo,-2024,"Romance, Comedy, Drama",,2h 26min,,,Amazon Prime Video,https://www.justwatch.com/in/movie/romeo-2024
67,Siren,-2024,"Mystery & Thriller, Crime, Action & Adventure",6.6  (1k),2h 34min,,India,Amazon Prime Video,https://www.justwatch.com/in/movie/siren-2024
68,The Lord of the Rings: The Fellowship of the Ring,-2001,"Action & Adventure, Fantasy, Drama",8.9  (2m),3h 28min,U,"United States, New Zealand",Jio Cinema,https://www.justwatch.com/in/movie/the-lord-of-the-rings-the-fellowship-of-the-ring
69,Veppam Kulir Mazhai,-2024,Mystery & Thriller,8.2  (2k),2h 12min,UA,India,aha,https://www.justwatch.com/in/movie/veppam-kulir-mazhai
70,The Fall Guy,-2024,"Action & Adventure, Comedy, Drama",7.3  (36k),2h 6min,UA,"United States, Australia, Canada",aha,https://www.justwatch.com/in/movie/the-fall-guy
71,Godzilla vs. Kong,-2021,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.3  (242k),1h 54min,UA,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/godzilla-vs-kong
72,War for the Planet of the Apes,-2017,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",7.4  (287k),2h 20min,,United States,Hotstar,https://www.justwatch.com/in/movie/war-for-the-planet-of-the-apes
73,May December,-2023,"Drama, Comedy",6.8,1h 57min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/may-december
74,Wonka,-2023,"Comedy, Kids & Family, Fantasy",7.0  (143k),1h 57min,U,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/wonka
75,Civil War,-2024,"Mystery & Thriller, Action & Adventure, War & Military, Drama",7.5  (63k),1h 49min,,"United Kingdom, United States",Jio Cinema,https://www.justwatch.com/in/movie/civil-war-2024-0
