,Show Title,Show Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Show URLs
0,Shōgun,(2024),"Drama, War & Military, History",9.0  (84k),59min,,United States,India,https://www.justwatch.com/in/tv-show/shogun-2024
1,Mirzapur,(2018),"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5  (81k),50min,,India,India,https://www.justwatch.com/in/tv-show/mirzapur
2,3 Body Problem,(2024),"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.6  (92k),56min,A,United States,India,https://www.justwatch.com/in/tv-show/3-body-problem
3,Fallout,(2024),"War & Military, Action & Adventure, Drama, Science-Fiction, Comedy",8.6  (107k),59min,A,United States,India,https://www.justwatch.com/in/tv-show/fallout
4,Panchayat,(2020),"Comedy, Drama",8.9  (84k),33min,,India,India,https://www.justwatch.com/in/tv-show/panchayat
5,Game of Thrones,(2011),"Action & Adventure, Drama, Fantasy, Science-Fiction",8.9  (84k),58min,A,"United Kingdom, United States",India,https://www.justwatch.com/in/tv-show/game-of-thrones
6,Inspector Rishi,(2024),"Horror, Drama, Mystery & Thriller, Action & Adventure",7.2  (1k),45min,A,India,India,https://www.justwatch.com/in/tv-show/inspector-rishi
7,Attack on Titan,(2013),"Drama, Fantasy, Horror, Animation, Action & Adventure, Science-Fiction",9.0  (325k),25min,UA,UA,India,https://www.justwatch.com/in/tv-show/attack-on-titan
8,Apharan,(2018),"Drama, Action & Adventure, Crime, Mystery & Thriller",8.3  (19k),24min,,India,India,https://www.justwatch.com/in/tv-show/apharan
9,Ripley,(2024),"Mystery & Thriller, Crime, Drama",8.2  (21k),56min,,United States,India,https://www.justwatch.com/in/tv-show/ripley
10,The Great Indian Kapil Show,(2024),Comedy,6.7  (7k),49min,,India,India,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project
11,Sunflower,(2021),"Crime, Comedy",7.5  (23k),37min,A,India,India,https://www.justwatch.com/in/tv-show/sunflower-2021
12,Solo Leveling,(2024),"Fantasy, Animation, Action & Adventure, Science-Fiction",8.4  (19k),24min,,"Japan, South Korea",India,https://www.justwatch.com/in/tv-show/solo-leveling-2024
13,The Gentlemen,(2024),"Action & Adventure, Comedy, Crime, Drama",8.1  (89k),50min,A,"United States, United Kingdom",India,https://www.justwatch.com/in/tv-show/the-gentlemen
14,A Gentleman in Moscow,(2024),"Drama, History, Mystery & Thriller",6.6  (2k),49min,,United Kingdom,India,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow
15,Young Sheldon,(2017),"Kids & Family, Comedy",7.6  (101k),19min,U,United States,India,https://www.justwatch.com/in/tv-show/young-sheldon
16,Mastram,(2020),"Drama, Fantasy, Comedy",7.1  (2k),28min,,India,India,https://www.justwatch.com/in/tv-show/mastram
17,Invincible,(2021),"Drama, Animation, Science-Fiction, Action & Adventure, Fantasy, Mystery & Thriller",8.7  (202k),48min,,United States,India,https://www.justwatch.com/in/tv-show/invincible
18,Farzi,(2023),"Crime, Drama, Mystery & Thriller",8.4  (45k),56min,,India,India,https://www.justwatch.com/in/tv-show/farzi
19,Queen of Tears,(2024),"Comedy, Drama, Kids & Family",8.4  (45k),1h 27min,,South Korea,India,https://www.justwatch.com/in/tv-show/queen-of-tears
20,The Walking Dead,(2010),"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",8.4  (45k),46min,U,United States,India,https://www.justwatch.com/in/tv-show/the-walking-dead
21,Parasyte: The Grey,(2024),"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",7.2  (7k),50min,,South Korea,India,https://www.justwatch.com/in/tv-show/parasyte-the-grey
22,Maamla Legal Hai,(2024),"Drama, Comedy",8.1  (6k),32min,,India,India,https://www.justwatch.com/in/tv-show/maamla-legal-hai
23,Maharani,(2021),Drama,7.9  (9k),44min,UA,India,India,https://www.justwatch.com/in/tv-show/maharani-2021
24,Jujutsu Kaisen,(2020),"Animation, Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction",8.6  (114k),23min,,"United States, Japan",India,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
25,Baby Reindeer,(2024),Drama,8.2  (25k),34min,,United Kingdom,India,https://www.justwatch.com/in/tv-show/baby-reindeer
26,True Detective,(2014),"Drama, Mystery & Thriller, Crime",8.9  (655k),1h 1min,U,United States,India,https://www.justwatch.com/in/tv-show/true-detective
27,Gandii Baat,(2018),"Crime, Drama, Mystery & Thriller",3.4  (2k),44min,A,India,India,https://www.justwatch.com/in/tv-show/gandii-baat
28,Anthracite,(2024),"Mystery & Thriller, Drama, Crime",6.1  (1k),50min,,France,India,https://www.justwatch.com/in/tv-show/anthracite
29,Lucifer,(2016),"Science-Fiction, Crime, Drama, Fantasy",8.1  (355k),47min,U,United States,India,https://www.justwatch.com/in/tv-show/lucifer
30,Reacher,(2022),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.1  (210k),48min,A,United States,India,https://www.justwatch.com/in/tv-show/jack-reacher
31,Scam 1992,(2020),"Mystery & Thriller, Crime, Drama",9.3  (150k),52min,,India,India,https://www.justwatch.com/in/tv-show/scam-1992
32,The Rookie,(2018),"Crime, Drama, Comedy, Action & Adventure",8.0  (71k),42min,,United States,India,https://www.justwatch.com/in/tv-show/the-rookie
33,Aashram,(2020),"Crime, Drama, Mystery & Thriller",7.4  (32k),43min,,India,India,https://www.justwatch.com/in/tv-show/aashram
34,Saving the Tigers,(2023),"Comedy, Drama, Mystery & Thriller",8.1  (2k),27min,,India,India,https://www.justwatch.com/in/tv-show/save-the-tigers
