,Movie Title,release Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Movie URLs
0,Teri Baaton Mein Aisa Uljha Jiya,(2024),"Science-Fiction, Comedy, Drama, Romance",6.5  (47k),2h 21min,,India,India,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
1,Hanu-Man,(2024),"Action & Adventure, Comedy, Science-Fiction, Fantasy",7.9  (22k),2h 39min,UA,India,India,https://www.justwatch.com/in/movie/hanu-man
2,Premalu,(2024),"Comedy, Romance",8.0  (6k),2h 36min,U,India,India,https://www.justwatch.com/in/movie/premalu
3,Oppenheimer,(2023),"Drama, History",8.3  (722k),3h 0min,UA,"United States, United Kingdom",India,https://www.justwatch.com/in/movie/oppenheimer
4,Anatomy of a Fall,(2023),"Mystery & Thriller, Crime, Drama",7.7  (117k),2h 32min,,France,India,https://www.justwatch.com/in/movie/anatomie-dune-chute
5,Fighter,(2024),"Action & Adventure, Mystery & Thriller, War & Military",6.3  (43k),2h 47min,UA,India,India,https://www.justwatch.com/in/movie/fighter-2022
6,Article 370,(2024),"Action & Adventure, Drama, Mystery & Thriller",8.2  (12k),2h 38min,UA,India,India,https://www.justwatch.com/in/movie/article-370
7,Dune: Part Two,(2024),"Science-Fiction, Drama, Action & Adventure",8.7  (359k),2h 47min,,United States,India,https://www.justwatch.com/in/movie/dune-part-two
8,Crew,(2024),"Comedy, Drama",7.6  (24k),1h 58min,UA,India,India,https://www.justwatch.com/in/movie/the-crew-2024
9,Manjummel Boys,(2024),Mystery & Thriller,8.7  (6k),2h 15min,UA,India,India,https://www.justwatch.com/in/movie/manjummel-boys
10,Animal,(2023),"Drama, Action & Adventure, Crime, Mystery & Thriller",6.2  (88k),3h 21min,A,India,India,https://www.justwatch.com/in/movie/animal-2022
11,Anyone But You,(2023),"Comedy, Romance",6.2  (66k),1h 43min,A,"United States, Australia",India,https://www.justwatch.com/in/movie/anyone-but-you
12,Dune,(2021),"Science-Fiction, Action & Adventure, Drama",8.0  (850k),2h 35min,UA,United States,India,https://www.justwatch.com/in/movie/dune-2021
13,12th Fail,(2023),Drama,9.0  (110k),2h 27min,,India,India,https://www.justwatch.com/in/movie/12th-fail
14,Bramayugam,(2024),"Horror, Mystery & Thriller",8.0  (7k),2h 19min,UA,India,India,https://www.justwatch.com/in/movie/bramayugam
15,Poor Things,(2023),"Romance, Comedy, Science-Fiction, Drama",7.9  (244k),2h 22min,A,"Ireland, United Kingdom, United States",India,https://www.justwatch.com/in/movie/poor-things
16,Road House,(2024),"Action & Adventure, Mystery & Thriller",6.2  (105k),2h 1min,,United States,India,https://www.justwatch.com/in/movie/road-house-2024
17,Amar Singh Chamkila,(2024),"Drama, Music & Musical, Romance",8.1  (7k),2h 25min,,India,India,https://www.justwatch.com/in/movie/amar-singh-chamkila
18,Godzilla x Kong: The New Empire,(2024),"Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",6.5  (36k),1h 55min,UA,"Australia, United States",India,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
19,Shaitaan,(2024),"Horror, Mystery & Thriller, Drama",7.7  (35k),2h 10min,UA,India,India,https://www.justwatch.com/in/movie/black-magic-2024
20,Laapataa Ladies,(2024),"Comedy, Drama, Action & Adventure",8.4  (2k),2h 2min,,India,India,https://www.justwatch.com/in/movie/laapataa-ladies
21,Sam Bahadur,(2023),"Drama, War & Military, History",7.8  (15k),2h 30min,UA,India,India,https://www.justwatch.com/in/movie/sam-bahadur
22,Gaami,(2024),"Mystery & Thriller, Science-Fiction, Fantasy, Drama",6.6  (1k),2h 27min,A,India,India,https://www.justwatch.com/in/movie/gaami
23,Kung Fu Panda,(2008),"Action & Adventure, Animation, Kids & Family, Comedy, Fantasy",7.6  (521k),1h 30min,U,United States,India,https://www.justwatch.com/in/movie/kung-fu-panda
24,Madame Web,(2024),"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",3.8  (53k),1h 56min,,United States,India,https://www.justwatch.com/in/movie/madame-web
25,Kung Fu Panda 4,(2024),"Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",6.4  (29k),1h 34min,,United States,India,https://www.justwatch.com/in/movie/kung-fu-panda-4
26,Salaar,(2023),"Action & Adventure, Crime, Drama, Mystery & Thriller",6.5  (63k),2h 55min,A,India,India,https://www.justwatch.com/in/movie/salaar
27,365 Days,(2020),"Drama, Romance, Made in Europe",3.3  (98k),1h 54min,,Poland,India,https://www.justwatch.com/in/movie/365-days
28,Madgaon Express,(2024),"Drama, Comedy",8.3  (27k),2h 23min,UA,India,India,https://www.justwatch.com/in/movie/madgaon-express
29,Merry Christmas,(2024),"Drama, Mystery & Thriller",7.0  (25k),2h 23min,,India,India,https://www.justwatch.com/in/movie/merry-christmas-2024
30,Lover,(2024),"Romance, Drama",7.0  (1k),2h 25min,,India,India,https://www.justwatch.com/in/movie/lover-2024
31,Godzilla vs. Kong,(2021),"Action & Adventure, Science-Fiction, Mystery & Thriller",6.3  (240k),1h 53min,UA,United States,India,https://www.justwatch.com/in/movie/godzilla-vs-kong
32,Aattam,(2024),Drama,8.3  (2k),2h 19min,UA,India,India,https://www.justwatch.com/in/movie/aattam
33,The Goat Life,(2024),"Drama, Action & Adventure",8.7  (5k),2h 52min,UA,"India, United States",India,https://www.justwatch.com/in/movie/aadujeevitham
34,Ferrari,(2023),"Drama, History, Sport",6.5  (41k),2h 11min,,"United Kingdom, United States",India,https://www.justwatch.com/in/movie/ferrari
35,Murder Mubarak,(2024),"Crime, Mystery & Thriller, Comedy, Romance",6.4  (48k),2h 22min,,India,India,https://www.justwatch.com/in/movie/murder-mubarak
36,DJ Tillu,(2022),"Crime, Romance, Action & Adventure, Comedy, Mystery & Thriller",7.2  (3k),2h 1min,UA,India,India,https://www.justwatch.com/in/movie/dj-tillu
37,Aquaman and the Lost Kingdom,(2023),"Action & Adventure, Fantasy, Science-Fiction",5.6  (81k),2h 4min,,United States,India,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom
38,Eagle,(2024),"Action & Adventure, Mystery & Thriller",6.4  (4k),2h 39min,UA,India,India,https://www.justwatch.com/in/movie/eagle-2024
39,The Beekeeper,(2024),"Action & Adventure, Mystery & Thriller, Drama",6.4  (81k),1h 45min,,"United Kingdom, United States",India,https://www.justwatch.com/in/movie/the-beekeeper-2024
40,Joker,(2019),"Crime, Mystery & Thriller, Drama",8.4  (1m),2h 2min,A,"Canada, United States",India,https://www.justwatch.com/in/movie/joker-2019
41,The Kerala Story,(2023),Drama,7.0  (71k),2h 18min,A,India,India,https://www.justwatch.com/in/movie/the-kerala-story
42,Abraham Ozler,(2024),"Mystery & Thriller, Crime, Drama",6.6  (2k),2h 23min,,India,India,https://www.justwatch.com/in/movie/abraham-ozler
43,Om Bheem Bush,(2024),"Comedy, Horror",5.8,2h 30min,,India,India,https://www.justwatch.com/in/movie/om-bheem-bush
44,Harry Potter and the Philosopher's Stone,(2001),"Fantasy, Kids & Family",7.6  (855k),2h 27min,U,"United States, United Kingdom",India,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
45,Chaari 111,(2024),"Comedy, Action & Adventure",5.2,2h 7min,,India,India,https://www.justwatch.com/in/movie/chaari-111
46,Kampon,(2023),"Mystery & Thriller, Horror, Crime, Drama",4.8,1h 31min,A,Philippines,India,https://www.justwatch.com/in/movie/kampon
47,Migration,(2023),"Comedy, Animation, Kids & Family",6.7  (23k),1h 23min,U,United States,India,https://www.justwatch.com/in/movie/migration
48,She Said,(2022),"History, Drama",7.3  (38k),2h 9min,A,"United States, Japan",India,https://www.justwatch.com/in/movie/she-said
